Tên bảng,Tên trường,Mô tả,Khóa,Ghi chú (FK suy luận)
RISK_ALERT,THRESHOLD_DIRECTION,"1=Tăng, 2=Giảm, 3=Tăng/Giảm",,
RISK_ALERT,THRESHOLD_UNIT_CODE,Đơn vị 1=% 2=Điểm 3=Tỷ VND 4=Triệu USD 5=Hợp đồng 6=Cổ phiếu 7=Công ty 8=VND 9=Số tài khoản 10=Đơn vị tính,,
RISK_ALERT,ALERT_MESSAGE,Nội dung cảnh báo (từ template),,
RISK_ALERT,TRIGGERED_AT,Thời điểm phát sinh cảnh báo,,
RISK_ALERT,TRIGGERED_BY_JOB_ID,Job ID đồng bộ chỉ tiêu,FK,FK → RISK_INDICATOR_SCHEDULE.ID
RISK_ALERT,HANDLER_USER_ID,Người được giao xử lý (user id),,
RISK_ALERT,HANDLER_USER_NAME,Tên người xử lý,,
RISK_ALERT,STATUS,"Trạng thái: 0=Chưa xử lý, 1=Đang xử lý, 2=Đã xử lý, 3=Đã huỷ/Đã bỏ qua",,
RISK_ALERT,ASSIGNED_AT,Thời điểm phân công,,
RISK_ALERT,CREATED_AT,Ngày tạo,,
RISK_ALERT,UPDATED_AT,Ngày sửa cuối,,
RISK_ALERT,CREATED_BY_ID,User_id người tạo,,
RISK_ALERT,UPDATED_BY_ID,User_id người cập nhật,,
RISK_ALERT,CREATED_BY_NAME,Tên người tạo,,
RISK_ALERT,UPDATED_BY_NAME,Tên người cập nhật,,
RISK_ALERT,DELETED,Soft delete,,
RISK_ALERT,COMPARE_PERIOD_TIME,Số kỳ cần so sánh,,
RISK_ALERT,THRESHOLD_VALUE,Giá trị ngưỡng,,
RISK_ALERT,IS_EXPIRED,,,
RISK_ALERT_CONFIG,ID,Primary key,PK,
RISK_ALERT_CONFIG,INDICATOR_TYPE,1=Chỉ tiêu hệ thống 2=Chỉ tiêu tự tạo,,
RISK_ALERT_CONFIG,INDICATOR_ID,Id chỉ tiêu hệ thống,FK,FK → RISK_INDICATOR.ID
RISK_ALERT_CONFIG,CUSTOM_INDICATOR_ID,Id chỉ tiêu tự tạo,FK,FK → RISK_INDICATOR_CUSTOM.ID
RISK_ALERT_CONFIG,THRESHOLD_DIRECTION,"1=Tăng, 2=Giảm, 3=Tăng/Giảm",,
RISK_ALERT_CONFIG,THRESHOLD_UNIT_CODE,Đơn vị 1=% 2=Điểm 3=Tỷ VND 4=Triệu USD 5=Hợp đồng 6=Cổ phiếu 7=Công ty 8=VND 9=Số tài khoản 10=Đơn vị tính,,
RISK_ALERT_CONFIG,COMPARE_PERIOD_TIME,Số kỳ cần so sánh,,
RISK_ALERT_CONFIG,ALERT_MESSAGE_TEMPLATE,Nội dung cảnh báo,,
RISK_ALERT_CONFIG,HANDLER_USER_ID,Người xử lý chính (user id),FK,FK → system_user.id
RISK_ALERT_CONFIG,HANDLER_USER_NAME,Tên người xử lý chính,,
RISK_ALERT_CONFIG,NOTIFY_BELL_FLAG,"Hiển thị thông báo chuông: 0=Không, 1=Có",,
RISK_ALERT_CONFIG,NOTIFY_EMAIL_FLAG,"Gửi email cảnh báo: 0=Không, 1=Có",,
RISK_ALERT_CONFIG,NOTIFY_TOAST_FLAG,"Thông báo toast: 0=Không, 1=Có",,
RISK_ALERT_CONFIG,IS_ACTIVE,"0=Không hoạt động, 1=Đang hoạt động",,
RISK_ALERT_CONFIG,DISPLAY_ORDER,Thứ tự hiển thị của cảnh báo,,
RISK_ALERT_CONFIG,CREATED_AT,Ngày tạo,,
RISK_ALERT_CONFIG,UPDATED_AT,Ngày sửa cuối,,
RISK_ALERT_CONFIG,CREATED_BY_ID,User_id người tạo,,
RISK_ALERT_CONFIG,UPDATED_BY_ID,User_id người cập nhật,,
RISK_ALERT_CONFIG,CREATED_BY_NAME,Tên người tạo,,
RISK_ALERT_CONFIG,UPDATED_BY_NAME,Tên người cập nhật,,
RISK_ALERT_CONFIG,DELETED,Soft delete,,
RISK_ALERT_CONFIG,CUSTOM_OLD_VALUE,Giá trị kỳ trước (cho chỉ tiêu tự tạo),,
RISK_ALERT_CONFIG,CUSTOM_NEW_VALUE,Giá trị kỳ này (cho chỉ tiêu tự tạo),,
RISK_ALERT_CONFIG,THRESHOLD_VALUE,Giá trị ngưỡng,,
RISK_ALERT_HISTORY,ID,Primary key,PK,
RISK_ALERT_HISTORY,ALERT_ID,Cảnh báo liên quan,FK,FK → RISK_ALERT.ID
RISK_ALERT_HISTORY,RESOLUTION_ID,Xử lý cảnh báo,FK,FK → RISK_ALERT_RESOLUTION.ID
RISK_ALERT_HISTORY,EVENT_TYPE,Loại sự kiện: 1=Xảy ra cảnh báo 2=Xử lý không giải trình 3=Xử lý có giải trình,,
