Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
WARD_OLD,IDX_WARD_OLD_STABLE_ID,STABLE_ID,,,
CURRENCY,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
CURRENCY,CODE,VARCHAR2(20 CHAR),"*Mã đơn vị tiền tệ (VD: VND, USD, EUR)*",,
CURRENCY,NAME_VN,VARCHAR2(255 CHAR),*Tên tiếng Việt*,,
CURRENCY,NAME_EN,VARCHAR2(255 CHAR),*Tên tiếng Anh*,,
CURRENCY,COUNTRY_ID,VARCHAR2(36 CHAR),*Stable Id** quốc gia (tham chiếu country.**stableId**)**)*,,FK suy luận → COUNTRY.ID
CURRENCY,EFFECTIVE,NUMBER(1),"Tình trạng (1: Hiệu lực, 0: Hết hiệu lực)",,
CURRENCY,DISPLAY_LABEL,VARCHAR2(255 CHAR),*Nhãn hiển thị*,,
CURRENCY,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
CURRENCY,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
CURRENCY,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
CURRENCY,DELETED_REASON,CLOB,*Lý do xóa*,,
CURRENCY,VERSION,NUMBER(MAX),*Phiên bản*,,
CURRENCY,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
CURRENCY,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
CURRENCY,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
CURRENCY,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
CURRENCY,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
CURRENCY,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
CURRENCY,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
CURRENCY,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
CURRENCY,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
CURRENCY,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
CURRENCY,COUNTRY_VERSION_ID,VARCHAR2(36 CHAR),*ID phiên bản của **Country**(**lưu country**.id hiện tại)*,,
CURRENCY,IDX_CURRENCY_COUNTRY_ID,COUNTRY_ID,,,
