Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
FORBRCH,Address,NVARCHAR2(3000),Địa chỉ,,
FORBRCH,Email,NVARCHAR2(300),Email,,
FORBRCH,Fax,NVARCHAR2(60),Fax,,
FORBRCH,ChangeLicense,NVARCHAR2(1500),Số GPĐC gần nhất,,
FORBRCH,ChangeLicenseDate,DATE,Ngày chấp thuận GPĐC,,
FORBRCH,ChangeNote,NVARCHAR2(3000),Lý do sửa đổi,,
FORBRCH,EndDate,DATE,Hoạt động đến ngày,,
FORBRCH,Status,NUMBER(22),Mã trạng thái. FK → STATUS.Id,FK,FK → STATUS.Id
FORBRCH,FileData,NCLOB,File đính kèm,,
FORBRCH,Deleted,NUMBER(22),Trạng thái bản ghi,,
FORBRCH,CreatedBy,NVARCHAR2(300),Người tạo,,
FORBRCH,DateCreated,DATE,Ngày tạo,,
FORBRCH,DateModified,DATE,Ngày sửa,,
FORBRCH,ModifyBy,NVARCHAR2(300),Người sửa,,
FUNDHISTORY,Id,RAW(16),Mã ID lịch sử quỹ đầu tư (PK),PK,
FUNDHISTORY,FndId,RAW(16),Mã ID quỹ đầu tư. FK → FUNDS.Id,FK,FK → FUNDS.Id
FUNDHISTORY,Action,NCLOB,Sự kiện thay đổi,,
FUNDHISTORY,DateChange,DATE,Ngày thực hiện thay đổi,,
FUNDHISTORY,AdjustmentLicense,NVARCHAR2(4000),Số GP/QĐ/CV sửa đổi,,
FUNDHISTORY,LicenseDate,DATE,Ngày chấp thuận,,
FUNDHISTORY,PrevValue,NCLOB,Thông tin trước thay đổi,,
FUNDHISTORY,ValueChange,NCLOB,Thông tin sau thay đổi,,
FUNDHISTORY,Reason,NVARCHAR2(4000),Lý do sửa đổi,,
FUNDHISTORY,FileData,NCLOB,File đính kèm,,
FUNDHISTORY,DateCreated,DATE,Ngày tạo,,
FUNDS,Id,RAW(16),Mã ID quỹ đầu tư. Mã hệ thống tự sinh (PK),PK,
FUNDS,FundName,NVARCHAR2(3000),Tên quỹ đầu tư,,
FUNDS,FundShortName,NVARCHAR2(300),Tên viết tắt quỹ đầu tư,,
FUNDS,FundEnName,NVARCHAR2(3000),Tên tiếng Anh quỹ đầu tư,,
FUNDS,SecId,RAW(16),Mã ID công ty QLQ quản lý. FK → SECURITIES.Id,FK,FK → SECURITIES.Id
FUNDS,FundCapital,NUMBER(22),Vốn điều lệ quỹ,,
FUNDS,FundType,NUMBER(22),Loại hình quỹ,,
FUNDS,Status,RAW(16),Mã ID trạng thái. FK → STATUS.Id,FK,FK → STATUS.Id
FUNDS,DecisionDate,DATE,Ngày cấp phép thành lập,,
FUNDS,ActiveDate,DATE,Ngày chính thức hoạt động,,
FUNDS,StopDate,DATE,Ngày giải thể/đóng quỹ,,
FUNDS,Deleted,NUMBER(22),Trạng thái bản ghi: 0 = Không bị xóa; 1 = Bị xóa,,
FUNDS,IsDataMigration,NUMBER(22),1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu mới,,
