Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
PARVALUE,Id,RAW(16),Mã ID mệnh giá cổ phần. Mã hệ thống tự sinh (PK),PK,
PARVALUE,Value,NUMBER(22),Giá trị mệnh giá,,
PARVALUE,Description,NVARCHAR2(3000),Ghi chú,,
PARVALUE,IsActive,NUMBER(22),Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,,
PARVALUE,IsDeleted,NUMBER(22),Trạng thái bản ghi: 0 = Không bị xóa; 1 = Bị xóa,,
PARVALUE,CreatedBy,NVARCHAR2(300),Người tạo,,
PARVALUE,DateCreated,DATE,Ngày tạo,,
PARVALUE,DateModified,DATE,Ngày sửa,,
PARVALUE,ModifyBy,NVARCHAR2(300),Người sửa,,
RANK,Id,RAW(16),Mã ID bảng xếp hạng (PK),PK,
RANK,SecId,RAW(16),Mã ID công ty QLQ. FK → SECURITIES.Id,FK,FK → SECURITIES.Id
RANK,RatingPdId,RAW(16),Mã ID kỳ đánh giá. FK → RATINGPD.Id,FK,FK → RATINGPD.Id
RANK,TotalScore,NUMBER(22),Tổng điểm đánh giá,,
RANK,RankValue,NUMBER(22),Xếp hạng,,
RANK,RankClass,NVARCHAR2(300),Xếp loại,,
RANK,Deleted,NUMBER(22),Trạng thái bản ghi,,
RANK,DateCreated,DATE,Ngày tạo,,
RANK,DateModified,DATE,Ngày sửa,,
RATINGPD,Id,RAW(16),Mã ID kỳ đánh giá xếp loại (PK),PK,
RATINGPD,PeriodName,NVARCHAR2(3000),Tên kỳ đánh giá,,
RATINGPD,StartDate,DATE,Ngày bắt đầu kỳ đánh giá,,
RATINGPD,EndDate,DATE,Ngày kết thúc kỳ đánh giá,,
RATINGPD,IsActive,NUMBER(22),Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,,
RATINGPD,IsDeleted,NUMBER(22),Trạng thái bản ghi,,
RATINGPD,DateCreated,DATE,Ngày tạo,,
RATINGPD,DateModified,DATE,Ngày sửa,,
REFRESHTOKEN,Id,RAW(16),ID phiên đăng nhập. Mã hệ thống tự sinh (PK),PK,
REFRESHTOKEN,Token,NVARCHAR2(4000),Mã phiên đăng nhập,,
REFRESHTOKEN,ExpiresUtc,TIMESTAMP(7),Thời gian hiệu lực phiên đăng nhập,,
REFRESHTOKEN,UsersId,RAW(16),Mã ID user hệ thống. FK → USERS.Id,FK,FK → USERS.Id
RELATION,Id,RAW(16),Mã ID mối quan hệ cổ đông (PK),PK,
RELATION,Name,NVARCHAR2(3000),Tên mối quan hệ,,
RELATION,IsActive,NUMBER(22),Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,,
RELATION,IsDeleted,NUMBER(22),Trạng thái bản ghi: 0 = Không bị xóa; 1 = Bị xóa,,
RELATION,CreatedBy,NVARCHAR2(300),Người tạo,,
RELATION,DateCreated,DATE,Ngày tạo,,
RELATION,DateModified,DATE,Ngày sửa,,
RELATION,ModifyBy,NVARCHAR2(300),Người sửa,,
REPRESENT,Id,RAW(16),Mã ID ban đại diện quỹ (PK),PK,
REPRESENT,FndId,RAW(16),Mã ID quỹ đầu tư. FK → FUNDS.Id,FK,FK → FUNDS.Id
REPRESENT,TLId,RAW(16),Mã ID nhân sự. FK → TLProfiles.Id,FK,FK → TLProfiles.Id
REPRESENT,IsChair,NUMBER(22),Là trưởng ban đại diện: 1 = Có; 0 = Không,,
REPRESENT,Status,NUMBER(22),Trạng thái: 1 = Hoạt động; 0 = Khóa,,
REPRESENT,Deleted,NUMBER(22),Trạng thái bản ghi,,
REPRESENT,DateCreated,DATE,Ngày tạo,,
REPRESENT,DateModified,DATE,Ngày sửa,,
RNKFACTOR,Id,RAW(16),Mã ID nhân tố đánh giá (PK),PK,
RNKFACTOR,Name,NVARCHAR2(3000),Tên nhân tố,,
RNKFACTOR,ParentId,RAW(16),Mã ID nhân tố cha. FK → RNKFACTOR.Id,FK,FK → RNKFACTOR.Id
RNKFACTOR,MaxScore,NUMBER(22),Điểm tối đa,,
RNKFACTOR,Weight,NUMBER(22),Trọng số,,
RNKFACTOR,IsActive,NUMBER(22),Trạng thái,,
RNKFACTOR,DateCreated,DATE,Ngày tạo,,
RNKFACTOR,DateModified,DATE,Ngày sửa,,
ROLES,Id,RAW(16),Mã ID nhóm quyền chức năng. Mã hệ thống tự sinh (PK),PK,
ROLES,RoleName,NVARCHAR2(1500),Tên nhóm quyền,,
ROLES,Description,NVARCHAR2(3000),Mô tả nhóm quyền,,
ROLES,Status,NUMBER(22),Trạng thái: 1 = Hoạt động; 0 = Khóa,,
ROLES,Deleted,NUMBER(22),Trạng thái bản ghi: 0 = Không bị xóa; 1 = Bị xóa,,
ROLES,CreatedBy,NVARCHAR2(300),Người tạo,,
ROLES,DateCreated,DATE,Ngày tạo,,
ROLES,DateModified,DATE,Ngày sửa,,
ROLES,ModifyBy,NVARCHAR2(300),Người sửa,,
ROLESMENUS,RolesId,RAW(16),Mã ID nhóm quyền. FK → ROLES.Id,,FK suy luận → ROLES.Id
ROLESMENUS,MenusId,RAW(16),Mã ID menu. FK → MENUS.Id,,FK suy luận → MENUS.Id
RPTMBHS,Id,RAW(16),ID lịch sử gửi báo cáo (PK),PK,
