Tên bảng,Tên trường,Mô tả,Khóa,Ghi chú (FK suy luận)
RPTOUTMANAGEMENT,dateEnd,Ngày kết thúc chạy,,
RPTOUTMANAGEMENT,Name,Tên cấu hình,,
RPTOUTMANAGEMENT,InvestorIds,,,
RPTOUTMANAGEMENT,InvestorTypeIds,,,
RPTOUTMANAGEMENT,MemberIds,ID thành viên thị trường,,
RPTOUTMANAGEMENT,MemberStrIds,Map ID thành viên thị trường với ID loại thành viên,,
RPTOUTMANAGEMENT,NationId,,,
RPTOUTMANAGEMENT,SecuritiesIds,,,
RPTOUTMANAGEMENT,Unit,,,
RPTOUTMANAGEMENT,DateCompletion,Ngày chạy gần nhất,,
RPTOUTMANAGEMENT,IsRunNow,Cấu hình lịch chạy thủ công: 0: Không chạy thủ công 1: Có chạy thủ công,,
RPTOUTMANAGEMENT,IsSum,Có dòng tổng trong file thống kê 0: Không có dòng tổng 1: Có dòng tổng,,
RPTOUTFILESAVE,Id,ID bản ghi,PK,
RPTOUTFILESAVE,Deleted,Trạng thái xóa của bản ghi: 0: Không bị xóa 1: Bị xóa,,
RPTOUTFILESAVE,DateCreated,Ngày tạo,,
RPTOUTFILESAVE,CreatedBy,Người tạo,,
RPTOUTFILESAVE,DateModified,Ngày sửa,,
RPTOUTFILESAVE,ModifyBy,Người sửa,,
RPTOUTFILESAVE,SystemObject,Nhóm báo cáo,,
RPTOUTFILESAVE,RptOutId,ID biểu mẫu báo cáo đầu ra. Lấy dữ liệu từ trường ID của bảng. RPTTPOUT,,
RPTOUTFILESAVE,FileExport,Tên File thống kê,,
RPTOUTFILESAVE,DataFileExport,,,
RPTOUTFILESAVE,PeriodType,Kỳ báo cáo: 1: Ngày 2: Tuần 3: Nửa tháng 4: Tháng 5: Quý 6: Bán niên 7: Năm,,
RPTOUTFILESAVE,PeriodValue,Giá trị kỳ,,
RPTOUTFILESAVE,ReportYear,Năm báo cáo,,
RPTOUTFILESAVE,RptOutManageId,ID cấu hình gen file tự động. Lấy dữ liệu từ trường ID của bảng RPTOUTMANAGEMENT,,
LOCATION,Id,ID bản ghi,PK,
LOCATION,Deleted,Trạng thái xóa của bản ghi: 0: Không bị xóa 1: Bị xóa,,
LOCATION,DateCreated,Ngày tạo,,
LOCATION,CreatedBy,Người tạo,,
LOCATION,DateModified,Ngày sửa,,
LOCATION,ModifyBy,Người sửa,,
LOCATION,SName,Mã tỉnh/ thành phố,,
LOCATION,Name,Tên tỉnh/ thành phố,,
LOCATION,Status,Trạng thái: 0: Không sử dụng 1: Sử dụng,,
LOCATION,IsDataMigration,Dữ liệu đồng bộ,,
LOCATION,Description,Mô tả,,
LOCATION,IdOld,ID danh mục tỉnh/ thành phố từ hệ thống FMS,,
NATIONAL,Id,ID bản ghi,PK,
NATIONAL,Deleted,Trạng thái xóa của bản ghi: 0: Không bị xóa 1: Bị xóa,,
NATIONAL,DateCreated,Ngày tạo,,
NATIONAL,CreatedBy,Người tạo,,
NATIONAL,DateModified,Ngày sửa,,
NATIONAL,ModifyBy,Người sửa,,
NATIONAL,SName,Mã quốc tịch/ quốc gia,,
NATIONAL,Name,Tên quốc tịch/ quốc gia,,
NATIONAL,Status,Trạng thái: 0: Không sử dụng 1: Sử dụng,,
NATIONAL,Description,Mô tả,,
NATIONAL,IsDataMigration,Dữ liệu đồng bộ,,
NATIONAL,IdOld,ID danh mục tỉnh/ thành phố từ hệ thống FMS,,
NATIONAL,IdScmsOld,ID danh mục tỉnh/ thành phố từ hệ thống SCMS,,
STATUS,Id,ID bản ghi,PK,
STATUS,Deleted,Trạng thái xóa của bản ghi: 0: Không bị xóa 1: Bị xóa,,
STATUS,DateCreated,Ngày tạo,,
STATUS,CreatedBy,Người tạo,,
STATUS,DateModified,Ngày sửa,,
STATUS,ModifyBy,Người sửa,,
STATUS,Name,Tên tình trạng hoạt động,,
STATUS,TypeObject,Đối tượng áp dụng,,
STATUS,IsActive,Trạng thái: 0: Không sử dụng 1: Sử dụng,,
STATUS,IsSubmitReport,Cho phép gửi báo cáo: 0: Không gửi báo cáo 1: Gửi báo cáo,,
STATUS,Description,Mô tả,,
STATUS,Icon,Icon,,
STATUS,Color,Màu sắc,,
STATUS,IdOld,ID hệ thống cũ,,
JOBTYPE,Id,ID của bản ghi,PK,
JOBTYPE,Deleted,Trạng thái xóa của bản ghi: 0: Không bị xóa 1: Bị xóa,,
JOBTYPE,DateCreated,Ngày tạo,,
JOBTYPE,CreatedBy,Người tạo,,
JOBTYPE,DateModified,Ngày sửa,,
JOBTYPE,ModifyBy,Người sửa,,
JOBTYPE,SName,Mã chức vụ,,
JOBTYPE,Name,Tên chức vụ,,
JOBTYPE,Status,Trạng thái: 0: Không sử dụng 1: Sử dụng,,
JOBTYPE,Description,Mô tả,,
JOBTYPE,IdOld,ID hệ thống cũ,,
SECURITIESTYPE,Id,ID bản ghi,PK,
SECURITIESTYPE,Deleted,Trạng thái xóa của bản ghi: 0: Không bị xóa 1: Bị xóa,,
SECURITIESTYPE,DateCreated,Ngày tạo,,
SECURITIESTYPE,CreatedBy,Người tạo,,
SECURITIESTYPE,DateModified,Ngày sửa,,
SECURITIESTYPE,ModifyBy,Người sửa,,
SECURITIESTYPE,SName,Mã loại chứng khoán,,
SECURITIESTYPE,Name,Tên loại chứng khoán,,
SECURITIESTYPE,Status,Trạng thái: 0: Không sử dụng 1: Sử dụng,,
SECURITIESTYPE,IsDataMigration,Dữ liệu chuyển đổi,,
SECURITIESTYPE,Description,Mô tả,,
SECURITIESTYPE,ParentId,Mã chứng khoán cha,,
SECURITIESTYPE,IdOld,ID hệ thống cũ,,
SECURITIES,Id,ID của bản ghi,PK,
SECURITIES,Deleted,Trạng thái xóa của bản ghi: 0: Không bị xóa 1: Bị xóa,,
SECURITIES,DateCreated,Ngày tạo,,
SECURITIES,CreatedBy,Người tạo,,
SECURITIES,DateModified,Ngày sửa,,
SECURITIES,ModifyBy,Người sửa,,
SECURITIES,SName,Mã chứng khoán,,
SECURITIES,Name,Tên chứng khoán,,
SECURITIES,Status,Trạng thái: 0: Không sử dụng 1: Sử dụng,,
SECURITIES,IsDataMigration,Dữ liệu chuyển đổi,,
SECURITIES,Description,Mô tả,,
SECURITIES,SecuritiesTypeId,ID loại chứng khoán. Dữ liệu lấy trường ID của bảng SECURITIESTYPE.,,FK suy luận → SECURITIESTYPE.Id
SECURITIES,IdOld,ID hệ thống cũ,,
SECURITIES,ClosingPrice,Giá đóng cửa,,
