source_system,source_table,silver_entity,group,lld_file
FIMS,DEPOSITORYCENTER,Involved Party Electronic Address,T1,attr_FIMS_DEPOSITORYCENTER_IP_Electronic_Address.csv
FIMS,FUNDCOMPANY,Involved Party Postal Address,T1,attr_FIMS_FUNDCOMPANY_IP_Postal_Address.csv
FIMS,FUNDCOMPANY,Involved Party Electronic Address,T1,attr_FIMS_FUNDCOMPANY_IP_Electronic_Address.csv
FIMS,INFODISCREPRES,Involved Party Postal Address,T1,attr_FIMS_INFODISCREPRES_IP_Postal_Address.csv
FIMS,INFODISCREPRES,Involved Party Electronic Address,T1,attr_FIMS_INFODISCREPRES_IP_Electronic_Address.csv
FIMS,INVESTOR,Involved Party Postal Address,T1,attr_FIMS_INVESTOR_IP_Postal_Address.csv
FIMS,INVESTOR,Involved Party Electronic Address,T1,attr_FIMS_INVESTOR_IP_Electronic_Address.csv
FIMS,SECURITIESCOMPANY,Involved Party Postal Address,T1,attr_FIMS_SECURITIESCOMPANY_IP_Postal_Address.csv
FIMS,SECURITIESCOMPANY,Involved Party Electronic Address,T1,attr_FIMS_SECURITIESCOMPANY_IP_Electronic_Address.csv
FIMS,STOCKEXCHANGE,Involved Party Postal Address,T1,attr_FIMS_STOCKEXCHANGE_IP_Postal_Address.csv
FIMS,STOCKEXCHANGE,Involved Party Electronic Address,T1,attr_FIMS_STOCKEXCHANGE_IP_Electronic_Address.csv
FIMS,TLPROFILES,Involved Party Postal Address,T1,attr_FIMS_TLPROFILES_IP_Postal_Address.csv
FIMS,TLPROFILES,Involved Party Electronic Address,T1,attr_FIMS_TLPROFILES_IP_Electronic_Address.csv
FIMS,BANKMONI,Involved Party Alternative Identification,T1,attr_FIMS_BANKMONI_IP_Alt_Identification.csv
FIMS,BRANCHS,Involved Party Alternative Identification,T1,attr_FIMS_BRANCHS_IP_Alt_Identification.csv
FIMS,FUNDCOMPANY,Involved Party Alternative Identification,T1,attr_FIMS_FUNDCOMPANY_IP_Alt_Identification.csv
FIMS,SECURITIESCOMPANY,Involved Party Alternative Identification,T1,attr_FIMS_SECURITIESCOMPANY_IP_Alt_Identification.csv
FIMS,INVESTOR,Involved Party Alternative Identification,T1,attr_FIMS_INVESTOR_IP_Alt_Identification.csv
FIMS,TLPROFILES,Involved Party Alternative Identification,T1,attr_FIMS_TLPROFILES_IP_Alt_Identification.csv
FIMS,INFODISCREPRES,Involved Party Alternative Identification,T1,attr_FIMS_INFODISCREPRES_IP_Alt_Identification.csv
SCMS,CT_KIEM_TOAN,Involved Party Postal Address,T2,attr_SCMS_CT_KIEM_TOAN_IP_Postal_Address.csv
SCMS,CT_KIEM_TOAN,Involved Party Electronic Address,T2,attr_SCMS_CT_KIEM_TOAN_IP_Electronic_Address.csv
SCMS,CT_KIEM_TOAN_VIEN,Involved Party Alternative Identification,T2,attr_SCMS_CT_KIEM_TOAN_VIEN_IP_Alt_Identification.csv
SCMS,CTCK_THONG_TIN,Involved Party Alternative Identification,T2,attr_SCMS_CTCK_THONG_TIN_IP_Alt_Identification.csv
SCMS,CTCK_PHONG_GIAO_DICH,Involved Party Postal Address,T2,attr_SCMS_CTCK_PHONG_GIAO_DICH_IP_Postal_Address.csv
SCMS,CTCK_PHONG_GIAO_DICH,Involved Party Electronic Address,T2,attr_SCMS_CTCK_PHONG_GIAO_DICH_IP_Electronic_Address.csv
SCMS,CTCK_VP_DAI_DIEN,Involved Party Postal Address,T2,attr_SCMS_CTCK_VP_DAI_DIEN_IP_Postal_Address.csv
SCMS,CTCK_VP_DAI_DIEN,Involved Party Electronic Address,T2,attr_SCMS_CTCK_VP_DAI_DIEN_IP_Electronic_Address.csv
DCST,THONG_TIN_CONG_TY,,pending,
