source_system,staging_table,ods_table,column_name,data_type,description,pk/fk
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ten_dvu,,Tên dịch vụ,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,phien_ban_dvu,,Phiên bản dịch vụ,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,tt_nhacc_dvu,,Thông tin nhà cung cấp dịch vụ,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ma_tkhai,,Mã tờ khai,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ten_tkhai,,Tên tờ khai,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,mo_ta_bmau,,Mô tả biểu mẫu,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,pban_tkhai_xml,,Phiên bản tờ khai XML,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,loai_tkhai,,Loại tờ khai,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,so_lan,,Số lần,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,kieu_ky,,Kiểu kỳ,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ky_kkhai,,Kỳ kê khai,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ky_kkhai_tu_ngay,,Kỳ kê khai từ ngày,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ky_kkhai_den_ngay,,Kỳ kê khai đến ngày,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ky_kkhai_tu_thang,,Kỳ kê khai từ tháng,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ky_kkhai_den_thang,,Kỳ kê khai đến tháng,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ma_cqthue_noi_nop,,Mã cơ quan thuế nơi nộp,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ten_cqthue_noi_nop,,Tên cơ quan thuế nơi nộp,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ngay_lap_tkhai,,Ngày lập tờ khai,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ma_ly_do_gia_han,,Mã lý do gia hạn,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ly_do_gia_han,,Lý do gia hạn,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,nguoi_ky,,Người ký,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ngay_ky,,Ngày ký,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,nganh_nghe_kd,,Ngày nghề kinh doanh,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,mst,,Mã số thuế,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ten_nnt,,Tên người nộp thuế,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,dia_chi_nnt,,Địa chỉ người nộp thuế,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,phuong_xa,,Phường xã,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ma_huyen_nnt,,Mã huyện người nộp thuế,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ten_huyen_nnt,,Tên huyện người nộp thuế,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ma_tinh_nnt,,Mã tỉnh người nộp thuế,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ten_tinh_nnt,,Tên tỉnh người nộp thuế,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,dien_thoai_nnt,,Điện thoại người nộp thuế,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,fax_nnt,,Fax người nộp thuế,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,email_nnt,,Email người nộp thuế,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,trang_thai_kt,,Trạng thái kiểm toán,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,mst_tc_ktoan,,Mã số thuế tổ chức kiểm toán,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,tc_kiem_toan,,Tổ chức kiểm toán,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ma_kiem_toan_vien,,Mã kiểm toán viên,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,kiem_toan_vien,,Kiểm toán vien,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,bctc_da_kiem_toan,,Báo cáo tài chính đã kiểm toán,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ma_ykkt,,Mã ý kiến kiểm toán,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ykkt,,Ý kiến kiểm toán,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ngay_kiem_toan,,Ngày kiểm toán,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ngay_tao,,Ngày tạo,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,goi_tin_id,,Gói tin ID,FK
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,add_info_ngay_nop_tk,,Ngày nộp tờ khai,
