Table Desc;Table Name;Logical Field Name;Physical Field Name;Kiểu dữ liệu;Length;Is_nullable;Ý nghĩa
JAD_CSIDXINFOR: Thông tin mã chứng khoán thuộc rổ chỉ số;JAD_CSIDXINFOR;Index Code;INDEXCODE;character varying;255;YES;Mã chỉ số
JAD_CSIDXINFOR: Thông tin mã chứng khoán thuộc rổ chỉ số;JAD_CSIDXINFOR;Symbol;SYMBOL;character varying;255;YES;Mã chứng khoán
JAD_CSIDXINFOR: Thông tin mã chứng khoán thuộc rổ chỉ số;JAD_CSIDXINFOR;Total Quantity;TOTALQTTY;character varying;255;YES;Tổng khối lượng khớp lệnh (Lô chẵn)
JAD_CSIDXINFOR: Thông tin mã chứng khoán thuộc rổ chỉ số;JAD_CSIDXINFOR;Add Date;ADDDATE;character varying;255;YES;Ngày thêm vào chỉ số
JAD_CSIDXINFOR: Thông tin mã chứng khoán thuộc rổ chỉ số;JAD_CSIDXINFOR;Index ID;INDEXID;int;;YES;
JAD_CSIDXINFOR: Thông tin mã chứng khoán thuộc rổ chỉ số;JAD_CSIDXINFOR;Floor Code;FLOORCODE;character varying;255;YES;Mã sở GD CK
JAD_CSIDXINFOR: Thông tin mã chứng khoán thuộc rổ chỉ số;JAD_CSIDXINFOR;Trading Date;TRADINGDATE;character varying;255;YES;Thời gian theo dạng ngày (dd/MM/yyyy)
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Kid;KID;;;;guid
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Symbol;SYMBOL;character varying;255;Y;Mã chứng khoán
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Full Name;FULLNAME;character varying;255;N;Tên đầy đủ của chứng khoán
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Trading Date;TRADINGDATE;character varying;255;N;Ngày giao dịch format dd/mm/yyyy
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Floor Code;FLOORCODE;character varying;255;N;6
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Stock Type;STOCKTYPE;character varying;255;N;12
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Ceiling;CEILING;single precision;;Y;Giá trần GD khớp lệnh
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Floor;FLOOR;single precision;;Y;Giá sàn GD khớp lệnh
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Reference;REFERENCE;single precision;;Y;Giá tham chiếu
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Close Price;CLOSEPRICE;single precision;;Y;Giá đóng cửa ngày
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Close Vol;CLOSEVOL;single precision;;Y;KL đóng cửa
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Change;CHANGE;single precision;;Y;"Trường này là thể hiện sự thay đổi của giá khớp gần nhất (giá thị trường) so với giá 
tham chiếu ngày hôm đó, là trường +/- trên bảng giá"
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Total Trading;TOTALTRADING;double precision;;Y;Tổng giao dịch
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Total Trading Value;TOTALTRADINGVALUE;double precision;;Y;Tổng giá trị giao dịch
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Average Price;AVERAGEPRICE;single precision;;Y;Giá trung bình
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Open;OPEN;single precision;;Y;Giá mở cửa
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;High;HIGH;single precision;;Y;Giá thực hiện cao nhất của GD khớp lệnh
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Low;LOW;single precision;;Y;Giá thực hiện thấp nhất của GD khớp lệnh
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Foreign Remain;FOREIGNREMAIN;single precision;;Y;" - Số lượng còn lại mà nhà đầu tư nước ngoài được phép mua.
 - Cập nhật ngay sau khi có giao dịch liên quan đến nhà đầu tư nước ngoài.
 Của cả 2 hình thức GD. "
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Put-through Match Quantity;PT_MATCH_QTTY;double precision;;Y;Khối lượng thực hiện gần nhất của giao dịch thỏa thuận Outright
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Put-through Match Price;PT_MATCH_PRICE;double precision;;Y;Khối lượng thực hiện gần nhất của giao dịch thỏa thuận Outright
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Put-through Total Traded Quantity;PT_TOTAL_TRADED_QTTY;double precision;;Y;Tổng khối lượng giao dịch của lệnh thoả thuận Outright
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Put-through Total Traded Value;PT_TOTAL_TRADED_VALUE;double precision;;Y;Tổng giá trị giao dịch thoả thuận Outright
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Trading Session ID;TRADINGSESSIONID;character varying;255;N;Mã trạng thái giao dịch. Theo quy định kết cấu phiên của HNX
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Issuer Name;ISSUERNAME;character varying;255;N;Mã Tổ chức phát hành
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Maturity Date;MATURITYDATE;character varying;255;N;Ngày đáo hạn
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Total Listing Quantity;TOTALLISTINGQTTY;double precision;255;Y;Khối lượng niêm yết
